molid,sw_smiles,ecfp4,Lipinski #violations,PAINS #alerts,BBB permeant,vendors
ZINC000254487630,O=C(O)C[C@@H]1S\C(=N\N=Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)NC1=O,1.0,0,0,No,https://mcule.com/MCULE-4212108550/
ZINC000254487629,O=C(O)C[C@H]1S\C(=N\N=Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)NC1=O,1.0,0,0,No,https://mcule.com/MCULE-4212108550/
ZINC000254449108,O=C(O)C[C@@H]1S\C(=N\N=Cc2ccc(-c3ccccc3[N+](=O)[O-])o2)NC1=O,0.8194444444444444,0,0,No,https://mcule.com/MCULE-3551211530/
ZINC000254449101,O=C(O)C[C@H]1S\C(=N\N=Cc2ccc(-c3ccccc3[N+](=O)[O-])o2)NC1=O,0.8194444444444444,0,0,No,https://mcule.com/MCULE-3551211530/
ZINC000254382478,Cc1ccc(-c2ccc(C=N\N=C3/NC(=O)[C@@H](CC(=O)O)S3)o2)c([N+](=O)[O-])c1,0.8133333333333334,0,0,No,https://mcule.com/MCULE-2275535191/
ZINC000254382475,Cc1ccc(-c2ccc(C=N\N=C3/NC(=O)[C@H](CC(=O)O)S3)o2)c([N+](=O)[O-])c1,0.8133333333333334,0,0,No,https://mcule.com/MCULE-2275535191/
ZINC000016115038,Cc1ccc(-c2ccc(\C=N\N=C3/NC(=O)[C@@H](CC(=O)O)S3)o2)c([N+](=O)[O-])c1,0.8133333333333334,0,0,No,http://www.hit2lead.com/screening-compounds/6647379|http://www.ambinter.com/reference/Amb19532025|http://www.vitasmlab.biz/search/STL383647|https://www.molport.com/shop/molecule-link/MolPort-002-214-914|https://orderbb.emolecules.com/search/#?query=25924787
ZINC000006974368,O=C(O)C[C@@H]1SC(N\N=C\c2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)=NC1=O,0.7,0,0,No,http://www.hit2lead.com/screening-compounds/6658069|http://www.ambinter.com/reference/Amb19532206|http://www.vitasmlab.biz/search/STL383641|https://www.molport.com/shop/molecule-link/MolPort-002-215-567|https://orderbb.emolecules.com/search/#?query=25925537|https://labnetwork.com/frontend-app/p/#!/moleculedetails/LN01010802
ZINC000008671124,O=C(O)C[C@H]1SC(N\N=C\c2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)=NC1=O,0.7,0,0,No,http://www.hit2lead.com/screening-compounds/6658069|http://www.ambinter.com/reference/Amb19532206|http://www.vitasmlab.biz/search/STL383641|https://www.molport.com/shop/molecule-link/MolPort-002-215-567|https://orderbb.emolecules.com/search/#?query=25925537
ZINC000016115676,O=C(O)C[C@@H]1S\C(=N\N=C\c2ccc(-c3ccc(Cl)c([N+](=O)[O-])c3)o2)NC1=O,0.7435897435897436,0,0,No,http://www.hit2lead.com/screening-compounds/6681744|http://www.ambinter.com/reference/Amb19532550|http://www.vitasmlab.biz/search/STL383648|https://www.molport.com/shop/molecule-link/MolPort-002-216-796|https://orderbb.emolecules.com/search/#?query=25926865|https://labnetwork.com/frontend-app/p/#!/moleculedetails/LN03111176
