sw_smiles,molid,dist,ecfp4,daylight,mces
O=C(O)C[C@@H]1S\C(=N\N=Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)NC1=O,ZINC000254487630,0,1.0,1.0,30
O=C(O)C[C@H]1S\C(=N\N=Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)NC1=O,ZINC000254487629,0,1.0,1.0,30
O=C(O)C[C@@H]1S\C(=N\N=Cc2ccc(-c3ccccc3[N+](=O)[O-])o2)NC1=O,ZINC000254449108,1,0.8194444444444444,0.956,29
O=C(O)C[C@H]1S\C(=N\N=Cc2ccc(-c3ccccc3[N+](=O)[O-])o2)NC1=O,ZINC000254449101,1,0.8194444444444444,0.956,29
Cc1ccc(-c2ccc(C=N\N=C3/NC(=O)[C@@H](CC(=O)O)S3)o2)c([N+](=O)[O-])c1,ZINC000254382478,1,0.8133333333333334,0.9299610894941636,30
Cc1ccc(-c2ccc(C=N\N=C3/NC(=O)[C@H](CC(=O)O)S3)o2)c([N+](=O)[O-])c1,ZINC000254382475,1,0.8133333333333334,0.9299610894941636,30
Cc1ccc(-c2ccc(\C=N\N=C3/NC(=O)[C@@H](CC(=O)O)S3)o2)c([N+](=O)[O-])c1,ZINC000016115038,1,0.8133333333333334,0.9299610894941636,30
O=C(O)C[C@@H]1SC(N\N=C\c2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)=NC1=O,ZINC000006974368,2,0.7,0.580441640378549,30
O=C(O)C[C@H]1SC(N\N=C\c2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)=NC1=O,ZINC000008671124,2,0.7,0.580441640378549,30
O=C(O)C[C@@H]1S\C(=N\N=C\c2ccc(-c3ccc(Cl)c([N+](=O)[O-])c3)o2)NC1=O,ZINC000016115676,2,0.7435897435897436,0.8419117647058824,29
