PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Potency,Efficacy,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.049 uM,Activity at 0.111 uM,Activity at 0.223 uM,Activity at 0.389 uM,Activity at 0.446 uM,Activity at 0.890 uM,Activity at 1.786 uM,Activity at 3.090 uM,Activity at 3.571 uM,Activity at 6.310 uM,Activity at 7.147 uM,Activity at 14.27 uM,Activity at 28.53 uM,Activity at 57.14 uM,Activity at 100.00 uM
RESULT_TYPE,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,"Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.
RESULT_UNIT,,,,MICROMOLAR,PERCENT,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,0.0489779,0.111276,0.22311,0.389045,0.446286,0.890138,1.78588,3.0903,3.57143,6.30957,7.14716,14.2677,28.5347,57.1429,100
,57288369,681,C1=CC(=C(C=C1CCN)O)O,,,,,,,4,,-3.1,-1.45,-0.65,-2.2,-0.9,,-0.9,-1.6,-2.75,,-3.7,-2.75,-2.35,-1.6,,-3.85
,11114056,2415,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)N4CCOCC4,,,,,,,4,,-1.8,-1.45,-0.35,-0.95,-0.7,,0,-1.65,-1.1,,-2,-1.6,-1.25,-2.4,,-2.9
,26750001,3698,C1=CN=CC=C1C2=CNC(=O)C(=C2)N,8.9125,31.9,3.0654,0.9825,-32.4,-0.5,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-34.5,-1.4,0.5,-0.85,-1.45,,-1.15,1.35,-2.7,,-8.35,-12.6,-25.45,-29.7,,-32.4
,11114110,4197,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,,,,,,,4,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.4,-4,-1.8,-0.35,-1.65,,2.2,-0.9,-0.95,,0,0,1.1,-0.55,,-0.55
,57288368,5814,C1=CC(=C(C=C1[C@@H](CN)O)O)O,,,,,,,4,,-4.6,-0.65,-1.95,-2.9,-3.1,,-4.25,-5.35,-4.65,,-4.85,-5.8,-5,-4.85,,-5.2
,57288366,7595,C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2,,,,,,,4,,-1.2,-3.1,-1.4,-2.35,-1.8,,-1.6,-2.35,-2.55,,-3.3,-1.8,-1.25,-2.7,,-2.15
,50110739,24302,CC1=NC2=CC=CC=C2OC1=O,,,,,,,4,,-3.6,-6.1,-7.35,-8.9,-6.9,,-5.1,-5.1,-5.1,,-4.1,-4.1,-6.6,-4.35,,-4.6
