Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
ZINC000001773770,COC(=O)c1c(NC(=O)CCCOc2cccc(c2)C)sc2c1[C@H](CC2)C(=O)OC,C22H25NO6S,431.50,30,11,0.41,11,6,1,114.03,119.17,4.08,4.09,3.65,2.37,5.18,3.88,-4.64,9.95e-03,2.30e-05,Moderately soluble,-6.30,2.17e-04,5.04e-07,Poorly soluble,-6.17,2.90e-04,6.73e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.03,0,0,1,0,0,0.55,0,1,3,4.38
ZINC000001773769,COC(=O)c1c(NC(=O)CCCOc2cccc(c2)C)sc2c1[C@@H](CC2)C(=O)OC,C22H25NO6S,431.50,30,11,0.41,11,6,1,114.03,119.17,4.00,4.09,3.65,2.37,5.18,3.86,-4.64,9.95e-03,2.30e-05,Moderately soluble,-6.30,2.17e-04,5.04e-07,Poorly soluble,-6.17,2.90e-04,6.73e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.03,0,0,1,0,0,0.55,0,1,3,4.38
ZINC000004039896,COC(=O)c1c(NC(=O)CCCOc2ccccc2)sc2c1[C@H](CC2)C(=O)OC,C21H23NO6S,417.48,29,11,0.38,11,6,1,109.06,119.17,3.76,3.73,3.34,2.16,4.65,3.53,-4.33,1.94e-02,4.65e-05,Moderately soluble,-5.92,4.97e-04,1.19e-06,Moderately soluble,-5.80,6.65e-04,1.59e-06,Moderately soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.20,0,0,1,0,0,0.55,0,1,3,4.29
ZINC000001779473,COC(=O)c1c(NC(=O)CCCOc2ccccc2)sc2c1[C@@H](CC2)C(=O)OC,C21H23NO6S,417.48,29,11,0.38,11,6,1,109.06,119.17,3.47,3.73,3.34,2.16,4.65,3.47,-4.33,1.94e-02,4.65e-05,Moderately soluble,-5.92,4.97e-04,1.19e-06,Moderately soluble,-5.80,6.65e-04,1.59e-06,Moderately soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.20,0,0,1,0,0,0.55,0,1,3,4.29
ZINC000040912489,COC(=O)c1c(NC(=O)CCCOc2cccc(c2C)C)sc2c1[C@H](CC2)C(=O)OC,C23H27NO6S,445.53,31,11,0.43,11,6,1,118.99,119.17,4.02,4.45,3.96,2.59,5.72,4.15,-4.94,5.09e-03,1.14e-05,Moderately soluble,-6.67,9.49e-05,2.13e-07,Poorly soluble,-6.55,1.27e-04,2.84e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.86,0,0,1,0,0,0.55,0,1,3,4.50
ZINC000040912490,COC(=O)c1c(NC(=O)CCCOc2cccc(c2C)C)sc2c1[C@@H](CC2)C(=O)OC,C23H27NO6S,445.53,31,11,0.43,11,6,1,118.99,119.17,4.12,4.45,3.96,2.59,5.72,4.17,-4.94,5.09e-03,1.14e-05,Moderately soluble,-6.67,9.49e-05,2.13e-07,Poorly soluble,-6.55,1.27e-04,2.84e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.86,0,0,1,0,0,0.55,0,1,3,4.50
ZINC000040912762,COC(=O)c1c(NC(=O)CCCOc2ccc(c(c2)C)Cl)sc2c1[C@H](CC2)C(=O)OC,C22H24ClNO6S,465.95,31,11,0.41,11,6,1,119.04,119.17,4.31,4.72,4.31,2.86,5.84,4.41,-5.24,2.69e-03,5.77e-06,Moderately soluble,-6.95,5.21e-05,1.12e-07,Poorly soluble,-6.75,8.23e-05,1.77e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.79,0,0,1,0,0,0.55,0,1,3,4.37
ZINC000040912763,COC(=O)c1c(NC(=O)CCCOc2ccc(c(c2)C)Cl)sc2c1[C@@H](CC2)C(=O)OC,C22H24ClNO6S,465.95,31,11,0.41,11,6,1,119.04,119.17,4.31,4.72,4.31,2.86,5.84,4.41,-5.24,2.69e-03,5.77e-06,Moderately soluble,-6.95,5.21e-05,1.12e-07,Poorly soluble,-6.75,8.23e-05,1.77e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.79,0,0,1,0,0,0.55,0,1,3,4.37
ZINC000040865008,COC(=O)c1c(NC(=O)CCCOc2cc(C)ccc2C)sc2c1[C@H](CC2)C(=O)OC,C23H27NO6S,445.53,31,11,0.43,11,6,1,118.99,119.17,4.27,4.45,3.96,2.59,5.72,4.20,-4.94,5.09e-03,1.14e-05,Moderately soluble,-6.67,9.49e-05,2.13e-07,Poorly soluble,-6.55,1.27e-04,2.84e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.86,0,0,1,0,0,0.55,0,1,3,4.50
ZINC000040865011,COC(=O)c1c(NC(=O)CCCOc2cc(C)ccc2C)sc2c1[C@@H](CC2)C(=O)OC,C23H27NO6S,445.53,31,11,0.43,11,6,1,118.99,119.17,4.24,4.45,3.96,2.59,5.72,4.19,-4.94,5.09e-03,1.14e-05,Moderately soluble,-6.67,9.49e-05,2.13e-07,Poorly soluble,-6.55,1.27e-04,2.84e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.86,0,0,1,0,0,0.55,0,1,3,4.50
